,Sentence,sentiment,Sentiment Score,Subjectivity
34,"They came to Europe, where the lady had been educated, and stayed three years.",0.0,0.0,0.0
35,"During these three years, the first spent in travel, the last two in Paris, Robert Cohn had two friends, Braddocks and myself.",0.4767,0.049999999999999996,0.16666666666666666
36,Braddocks was his literary friend.,0.4939,0.1,0.1
37,I was his tennis friend.,0.4939,0.0,0.0
38,"The lady who had him, her name was Frances, found toward the end of the second year that her looks were going, and her attitude toward Robert changed from one of careless possession and exploitation to the absolute determination that he should marry her.",0.0516,-0.09999999999999999,0.6
39,"During this time Robert’s mother had settled an allowance on him, about three hundred dollars a month.",0.0,0.0,0.0
40,During two years and a half I do not believe that Robert Cohn looked at another woman.,0.0,-0.16666666666666666,0.16666666666666666
41,"He was fairly happy, except that, like many people living in Europe, he would rather have been in America, and he had discovered writing.",0.7351,0.65,0.75
42,"He wrote a novel, and it was not really such a bad novel as the critics later called it, although it was a very poor novel.",0.5208,-0.30499999999999994,0.48666666666666664
43,"He read many books, played bridge, played tennis, and boxed at a local gymnasium.",0.5859,0.25,0.25
44,I first became aware of his lady’s attitude toward him one night after the three of us had dined together.,0.0,0.25,0.29166666666666663
45,We had dined at l’Avenue’s and afterward went to the Café de Versailles for coffee.,0.0,0.0,0.0
46,"We had several _fines_ after the coffee, and I said I must be going.",0.0,0.0,0.0
47,Cohn had been talking about the two of us going off somewhere on a weekend trip.,0.0,0.0,0.0
48,He wanted to get out of town and get in a good walk.,0.4404,0.7,0.6000000000000001
49,"I suggested we fly to Strasbourg and walk up to Saint Odile, or somewhere or other in Alsace.",0.0,0.3375,0.6375
50,"“I know a girl in Strasbourg who can show us the town,” I said.",0.0,0.0,0.0
51,Somebody kicked me under the table.,0.0,0.0,0.0
52,I thought it was accidental and went on: “She’s been there two years and knows everything there is to know about the town.,-0.0772,0.0,0.0
53,"She’s a swell girl.” I was kicked again under the table and, looking, saw Frances, Robert’s lady, her chin lifting and her face hardening.",0.0,0.0,0.0
54,"“Hell,” I said, “why go to Strasbourg?",0.0,0.0,0.0
55,"We could go up to Bruges, or to the Ardennes.” Cohn looked relieved.",0.3818,0.0,0.0
56,I was not kicked again.,0.0,0.0,0.0
57,I said good-night and went out.,0.0,0.0,0.0
58,Cohn said he wanted to buy a paper and would walk to the corner with me.,0.0,0.0,0.0
59,"“For God’s sake,” he said, “why did you say that about that girl in Strasbourg for?",0.0,0.0,0.0
60,"Didn’t you see Frances?” “No, why should I?",0.0,0.0,0.0
61,If I know an American girl that lives in Strasbourg what the hell is it to Frances?” “It doesn’t make any difference.,-0.6808,0.0,0.0
62,Any girl.,0.0,0.0,0.0
63,"I couldn’t go, that would be all.” “Don’t be silly.” “You don’t know Frances.",0.0,-0.5,0.875
64,Any girl at all.,0.0,0.0,0.0
65,"Didn’t you see the way she looked?” “Oh, well,” I said, “let’s go to Senlis.” “Don’t get sore.” “I’m not sore.",0.2755,0.0,0.0
66,"Senlis is a good place and we can stay at the Grand Cerf and take a hike in the woods and come home.” “Good, that will be fine.” “Well, I’ll see you to-morrow at the courts,” I said.",0.7096,0.5791666666666666,0.675
67,"“Good-night, Jake,” he said, and started back to the café.",0.0,0.0,0.0
68,"“You forgot to get your paper,” I said.",0.0,0.0,0.0
69,“That’s so.” He walked with me up to the kiosque at the corner.,0.0,0.0,0.0
70,"“You are not sore, are you, Jake?” He turned with the paper in his hand.",0.6497,0.0,0.0
71,"“No, why should I be?” “See you at tennis,” he said.",0.0,0.0,0.0
72,I watched him walk back to the café holding his paper.,0.0,0.0,0.0
73,I rather liked him and evidently she led him quite a life.,0.4215,0.425,0.525
74,"CHAPTER                                    2  That winter Robert Cohn went over to America with his novel, and it was accepted by a fairly good publisher.",0.743,0.7,0.6000000000000001
75,"His going made an awful row I heard, and I think that was where Frances lost him, because several women were nice to him in New York, and when he came back he was quite changed.",-0.3612,-0.052727272727272734,0.4909090909090909
76,"He was more enthusiastic about America than ever, and he was not so simple, and he was not so nice.",0.1423,0.42500000000000004,0.6892857142857143
77,The publishers had praised his novel pretty highly and it rather went to his head.,0.8271,0.20500000000000002,0.77
78,"Then several women had put themselves out to be nice to him, and his horizons had all shifted.",0.4215,0.3,0.5
79,For four years his horizon had been absolutely limited to his wife.,-0.2944,-0.07142857142857142,0.14285714285714285
80,"For three years, or almost three years, he had never seen beyond Frances.",0.0,0.0,0.0
81,I am sure he had never been in love in his life.,-0.2658,0.5,0.7444444444444445
82,"He had married on the rebound from the rotten time he had in college, and Frances took him on the rebound from his discovery that he had not been everything to his first wife.",-0.5106,0.25,0.29166666666666663
83,"He was not in love yet but he realized that he was an attractive quantity to women, and that the fact of a woman caring for him and wanting to live with him was not simply a divine miracle.",-0.2565,0.3590909090909091,0.6142857142857143
84,This changed him so that he was not so pleasant to have around.,-0.5265,0.7333333333333333,0.9666666666666667
85,"Also, playing for higher stakes than he could afford in some rather steep bridge games with his New York connections, he had held cards and won several hundred dollars.",0.6705,0.12878787878787878,0.3181818181818182
86,"It made him rather vain of his bridge game, and he talked several times of how a man could always make a living at bridge if he were ever forced to.",-0.7003,-0.23333333333333336,0.20000000000000004
87,Then there was another thing.,0.0,0.0,0.0
88,He had been reading W. H. Hudson.,0.0,0.0,0.0
89,"That sounds like an innocent occupation, but Cohn had read and reread “The Purple Land.” “The Purple Land” is a very sinister book if read too late in life.",-0.653,-0.15,0.7666666666666666
90,"It recounts splendid imaginary amorous adventures of a perfect English gentleman in an intensely romantic land, the scenery of which is very well described.",0.9523,0.40666666666666673,0.5599999999999999
91,"For a man to take it at thirty-four as a guide-book to what life holds is about as safe as it would be for a man of the same age to enter Wall Street direct from a French convent, equipped with a complete set of the more practical Alger books.",0.4404,0.19999999999999998,0.3208333333333333
92,"Cohn, I believe, took every word of “The Purple Land” as literally as though it had been an R. G. Dun report.",0.0,0.0,0.0
93,"You understand me, he made some reservations, but on the whole the book to him was sound.",0.0,0.30000000000000004,0.4
94,It was all that was needed to set him off.,0.0,0.0,0.0
95,I did not realize the extent to which it had set him off until one day he came into my office.,0.0,0.0,0.0
96,"“Hello, Robert,” I said.",0.0,0.0,0.0
97,"“Did you come in to cheer me up?” “Would you like to go to South America, Jake?” he asked.",0.7319,0.0,0.0
98,“No.” “Why not?” “I don’t know.,0.0,0.0,0.0
99,I never wanted to go.,0.0,0.0,0.0
100,Too expensive.,0.0,-0.5,0.7
101,"You can see all the South Americans you want in Paris anyway.” “They’re not the real South Americans.” “They look awfully real to me.” I had a boat train to catch with a week’s mail stories, and only half of them written.",0.0772,0.05833333333333334,0.4416666666666667
102,“Do you know any dirt?” I asked.,0.0,0.0,0.0
103,"“No.” “None of your exalted connections getting divorces?” “No; listen, Jake.",0.0,0.0,0.0
104,"If I handled both our expenses, would you go to South America with me?” “Why me?” “You can talk Spanish.",0.0,0.0,0.0
105,"And it would be more fun with two of us.” “No,” I said, “I like this town and I go to Spain in the summer-time.” “All my life I’ve wanted to go on a trip like that,” Cohn said.",0.8221,0.4,0.35
106,He sat down.,0.0,-0.15555555555555559,0.2888888888888889
107,"“I’ll be too old before I can ever do it.” “Don’t be a fool,” I said.",0.0,0.1,0.2
108,“You can go anywhere you want.,0.0772,0.0,0.0
109,You’ve got plenty of money.” “I know.,0.0,0.0,0.0
110,"But I can’t get started.” “Cheer up,” I said.",0.0,0.0,0.0
111,“All countries look just like the moving pictures.” But I felt sorry for him.,0.0772,-0.5,1.0
112,He had it badly.,-0.4767,-0.6999999999999998,0.6666666666666666
113,“I can’t stand it to think my life is going so fast and I’m not really living it.” “Nobody ever lives their life all the way up except bull-fighters.” “I’m not interested in bull-fighters.,-0.3089,-0.008333333333333331,0.43333333333333335
114,That’s an abnormal life.,0.0,0.0,0.0
115,I want to go back in the country in South America.,0.0772,0.0,0.0
116,"We could have a great trip.” “Did you ever think about going to British East Africa to shoot?” “No, I wouldn’t like that.” “I’d go there with you.” “No; that doesn’t interest me.” “That’s because you never read a book about it.",0.8625,0.4,0.375
117,"Go on and read a book all full of love affairs with the beautiful shiny black princesses.” “I want to go to South America.” He had a hard, Jewish, stubborn streak.",0.743,0.2069444444444444,0.5208333333333333
118,"“Come on down-stairs and have a drink.” “Aren’t you working?” “No,” I said.",0.0,0.0,0.0
119,We went down the stairs to the café on the ground floor.,0.0,-0.15555555555555559,0.2888888888888889
120,I had discovered that was the best way to get rid of friends.,0.8074,1.0,0.3
121,"Once you had a drink all you had to say was: “Well, I’ve got to get back and get off some cables,” and it was done.",0.0,0.0,0.0
122,"It is very important to discover graceful exits like that in the newspaper business, where it is such an important part of the ethics that you should never seem to be working.",0.8265,0.3066666666666667,0.8333333333333334
123,"Anyway, we went down-stairs to the bar and had a whiskey and soda.",0.0,0.0,0.0
124,Cohn looked at the bottles in bins around the wall.,0.0,0.0,0.0
125,"“This is a good place,” he said.",0.4404,0.7,0.6000000000000001
126,"“There’s a lot of liquor,” I agreed.",0.2732,0.0,0.0
127,"“Listen, Jake,” he leaned forward on the bar.",0.0,0.0,0.0
128,“Don’t you ever get the feeling that all your life is going by and you’re not taking advantage of it?,-0.0618,0.0,0.0
129,"Do you realize you’ve lived nearly half the time you have to live already?” “Yes, every once in a while.” “Do you know that in about thirty-five years more we’ll be dead?” “What the hell, Robert,” I said.",-0.7149,0.06742424242424243,0.3916666666666666
130,"“What the hell.” “I’m serious.” “It’s one thing I don’t worry about,” I said.",-0.4404,-0.3333333333333333,0.6666666666666666
131,“You ought to.” “I’ve had plenty to worry about one time or other.,-0.4404,-0.125,0.375
132,"I’m through worrying.” “Well, I want to go to South America.” “Listen, Robert, going to another country doesn’t make any difference.",0.0772,0.0,0.0
133,I’ve tried all that.,0.0,0.0,0.0
134,You can’t get away from yourself by moving from one place to another.,0.0,0.0,0.0
135,There’s nothing to that.” “But you’ve never been to South America.” “South America hell!,-0.7088,0.0,0.0
136,If you went there the way you feel now it would be exactly the same.,0.0,0.125,0.1875
137,This is a good town.,0.4404,0.7,0.6000000000000001
138,"Why don’t you start living your life in Paris?” “I’m sick of Paris, and I’m sick of the Quarter.” “Stay away from the Quarter.",-0.765,-0.7142857142857143,0.8571428571428571
139,Cruise around by yourself and see what happens to you.” “Nothing happens to me.,0.0,0.0,0.0
140,I walked alone all one night and nothing happened except a bicycle cop stopped me and asked to see my papers.” “Wasn’t the town nice at night?” “I don’t care for Paris.” So there you were.,0.4767,0.6,1.0
141,"I was sorry for him, but it was not a thing you could do anything about, because right away you ran up against the two stubbornnesses: South America could fix it and he did not like Paris.",-0.724,-0.10714285714285715,0.7678571428571428
142,"He got the first idea out of a book, and I suppose the second came out of a book too.",0.0,0.125,0.16666666666666666
143,"“Well,” I said, “I’ve got to go up-stairs and get off some cables.” “Do you really have to go?” “Yes, I’ve got to get these cables off.” “Do you mind if I come up and sit around the office?” “No, come on up.” He sat in the outer room and read the papers, and the Editor and Publisher and I worked hard for two hours.",-0.1926,-0.04583333333333334,0.37083333333333335
144,"Then I sorted out the carbons, stamped on a by-line, put the stuff in a couple of big manila envelopes and rang for a boy to take them to the Gare St. Lazare.",0.0,0.0,0.1
145,I went out into the other room and there was Robert Cohn asleep in the big chair.,0.0,-0.0625,0.2375
146,He was asleep with his head on his arms.,0.0,0.0,0.0
147,"I did not like to wake him up, but I wanted to lock the office and shove off.",-0.1419,0.0,0.0
148,I put my hand on his shoulder.,0.4939,0.0,0.0
149,He shook his head.,-0.1027,0.0,0.0
150,"“I can’t do it,” he said, and put his head deeper into his arms.",0.0,0.0,0.0
151,“I can’t do it.,0.0,0.0,0.0
152,"Nothing will make me do it.” “Robert,” I said, and shook him by the shoulder.",-0.1027,0.0,0.0
153,He looked up.,0.0,0.0,0.0
154,He smiled and blinked.,0.5423,0.6,0.2
155,“Did I talk out loud just then?” “Something.,0.0,0.1,0.8
156,"But it wasn’t clear.” “God, what a rotten dream!” “Did the typewriter put you to sleep?” “Guess so.",-0.6948,0.12500000000000003,0.3833333333333333
157,"I didn’t sleep all last night.” “What was the matter?” “Talking,” he said.",0.0,0.0,0.06666666666666667
158,I could picture it.,0.0,0.0,0.0
159,I have a rotten habit of picturing the bedroom scenes of my friends.,-0.0516,0.0,0.0
160,We went out to the Café Napolitain to have an _apéritif_ and watch the evening crowd on the Boulevard.,0.0,0.0,0.0
161,"CHAPTER                                    3  It was a warm spring night and I sat at a table on the terrace of the Napolitain after Robert had gone, watching it get dark and the electric signs come on, and the red and green stop-and-go traffic-signal, and the crowd going by, and the horse-cabs clippety-clopping along at the edge of the solid taxi traffic, and the _poules_ going by, singly and in pairs, looking for the evening meal.",0.3612,0.029761904761904753,0.26904761904761904
162,"I watched a good-looking girl walk past the table and watched her go up the street and lost sight of her, and watched another, and then saw the first one coming back again.",-0.3182,0.0,0.19444444444444442
163,"She went by once more and I caught her eye, and she came over and sat down at the table.",0.0,0.17222222222222222,0.3944444444444445
164,The waiter came up.,0.0,0.0,0.0
165,"“Well, what will you drink?” I asked.",0.0,0.0,0.0
166,“Pernod.” “That’s not good for little girls.” “Little girl yourself.,-0.3412,-0.24166666666666667,0.5333333333333333
167,"Dites garçon, un pernod.” “A pernod for me, too.” “What’s the matter?” she asked.",0.0,0.0,0.0
168,“Going on a party?” “Sure.,0.0,0.5,0.8888888888888888
169,Aren’t you?” “I don’t know.,0.0,0.0,0.0
170,"You never know in this town.” “Don’t you like Paris?” “No.” “Why don’t you go somewhere else?” “Isn’t anywhere else.” “You’re happy, all right.” “Happy, hell!” Pernod is greenish imitation absinthe.",0.7815,0.48809523809523814,0.6339285714285714
171,When you add water it turns milky.,0.0,0.0,0.0
172,"It tastes like licorice and it has a good uplift, but it drops you just as far.",0.4019,0.39999999999999997,0.8
173,"We sat and drank it, and the girl looked sullen.",-0.4019,0.0,0.0
174,"“Well,” I said, “are you going to buy me a dinner?” She grinned and I saw why she made a point of not laughing.",-0.1351,0.0,0.0
175,With her mouth closed she was a rather pretty girl.,0.4939,0.075,0.55
176,I paid for the saucers and we walked out to the street.,0.0,0.0,0.0
177,I hailed a horse-cab and the driver pulled up at the curb.,0.2263,0.0,0.0
178,"Settled back in the slow, smoothly rolling _fiacre_ we moved up the Avenue de l’Opéra, passed the locked doors of the shops, their windows lighted, the Avenue broad and shiny and almost deserted.",0.0,0.040624999999999994,0.303125
179,The cab passed the New York _Herald_ bureau with the window full of clocks.,0.0,0.24318181818181817,0.5022727272727273
180,“What are all the clocks for?” she asked.,0.0,0.0,0.0
181,"“They show the hour all over America.” “Don’t kid me.” We turned off the Avenue up the Rue des Pyramides, through the traffic of the Rue de Rivoli, and through a dark gate into the Tuileries.",0.0,-0.15,0.4
182,She cuddled against me and I put my arm around her.,0.0,0.0,0.0
183,She looked up to be kissed.,0.3818,0.0,0.0
184,She touched me with one hand and I put her hand away.,0.7506,0.0,0.0
185,“Never mind.” “What’s the matter?,0.0258,0.0,0.0
186,You sick?” “Yes.” “Everybody’s sick.,-0.5106,-0.7142857142857143,0.8571428571428571
187,"I’m sick, too.” We came out of the Tuileries into the light and crossed the Seine and then turned up the Rue des Saints Pères.",-0.5106,-0.15714285714285714,0.7785714285714285
188,“You oughtn’t to drink pernod if you’re sick.” “You neither.” “It doesn’t make any difference with me.,0.0,-0.7142857142857143,0.8571428571428571
189,It doesn’t make any difference with a woman.” “What are you called?” “Georgette.,0.0,0.0,0.0
190,"How are you called?” “Jacob.” “That’s a Flemish name.” “American too.” “You’re not Flamand?” “No, American.” “Good, I detest Flamands.” By this time we were at the restaurant.",0.0,0.2333333333333333,0.20000000000000004
191,I called to the _cocher_ to stop.,-0.296,0.0,0.0
192,We got out and Georgette did not like the looks of the place.,-0.2755,0.0,0.0
193,"“This is no great thing of a restaurant.” “No,” I said.",0.4404,-0.4,0.75
194,“Maybe you would rather go to Foyot’s.,0.0,0.0,0.0
195,Why don’t you keep the cab and go on?” I had picked her up because of a vague sentimental idea that it would be nice to eat with some one.,0.5719,-0.05000000000000001,0.8333333333333334
196,"It was a long time since I had dined with a _poule_, and I had forgotten how dull it could be.",-0.5574,-0.17083333333333334,0.45
197,"We went into the restaurant, passed Madame Lavigne at the desk and into a little room.",0.0,-0.1875,0.5
198,Georgette cheered up a little under the food.,0.5106,-0.1875,0.5
199,"“It isn’t bad here,” she said.",-0.5423,-0.6999999999999998,0.6666666666666666
200,"“It isn’t chic, but the food is all right.” “Better than you eat in Liège.” “Brussels, you mean.” We had another bottle of wine and Georgette made a joke.",0.5187,0.15773809523809523,0.5744047619047619
201,"She smiled and showed all her bad teeth, and we touched glasses.",0.0,-0.04999999999999993,0.43333333333333335
202,"“You’re not a bad type,” she said.",0.431,0.3499999999999999,0.6666666666666666
203,“It’s a shame you’re sick.,-0.7506,-0.7142857142857143,0.8571428571428571
204,We get on well.,0.2732,0.0,0.0
205,"What’s the matter with you, anyway?” “I got hurt in the war,” I said.",-0.5106,0.0,0.0
206,"“Oh, that dirty war.” We would probably have gone on and discussed the war and agreed that it was in reality a calamity for civilization, and perhaps would have been better avoided.",-0.6369,-0.04999999999999999,0.65
207,I was bored enough.,-0.2732,-0.25,0.75
208,Just then from the other room some one called: “Barnes!,0.0,-0.15625,0.375
209,"I say, Barnes!",0.0,0.0,0.0
210,"Jacob Barnes!” “It’s a friend calling me,” I explained, and went out.",0.5411,0.0,0.0
211,"There was Braddocks at a big table with a party: Cohn, Frances Clyne, Mrs. Braddocks, several people I did not know.",0.4019,0.0,0.05
212,"“You’re coming to the dance, aren’t you?” Braddocks asked.",0.0,0.0,0.0
213,"“What dance?” “Why, the dancings.",0.0,0.0,0.0
214,Don’t you know we’ve revived them?” Mrs. Braddocks put in.,0.0,0.0,0.0
215,"“You must come, Jake.",0.0,0.0,0.0
216,"We’re all going,” Frances said from the end of the table.",0.0,0.0,0.0
217,She was tall and had a smile.,0.3612,0.3,0.1
218,"“Of course, he’s coming,” Braddocks said.",0.0,0.0,0.0
219,"“Come in and have coffee with us, Barnes.” “Right.” “And bring your friend,” said Mrs. Braddocks laughing.",0.4939,0.2857142857142857,0.5357142857142857
220,She was a Canadian and had all their easy social graces.,0.6705,0.23333333333333334,0.45
221,"“Thanks, we’ll be in,” I said.",0.0,0.2,0.2
222,I went back to the small room.,0.0,-0.125,0.2
223,“Who are your friends?” Georgette asked.,0.0,0.0,0.0
224,“Writers and artists.” “There are lots of those on this side of the river.” “Too many.” “I think so.,0.0,0.5,0.5
225,"Still, some of them make money.” “Oh, yes.” We finished the meal and the wine.",0.0,0.0,0.0
226,"“Come on,” I said.",0.0,0.0,0.0
227,"“We’re going to have coffee with the others.” Georgette opened her bag, made a few passes at her face as she looked in the little mirror, re-defined her lips with the lipstick, and straightened her hat.",0.0,-0.19375,0.3
228,"“Good,” she said.",0.0,0.7,0.6000000000000001
229,We went into the room full of people and Braddocks and the men at his table stood up.,0.0,0.35,0.55
230,"“I wish to present my fiancée, Mademoiselle Georgette Leblanc,” I said.",0.4019,0.0,0.0
231,"Georgette smiled that wonderful smile, and we shook hands all round.",0.8519,0.42500000000000004,0.42500000000000004
232,"“Are you related to Georgette Leblanc, the singer?” Mrs. Braddocks asked.",0.0,0.0,0.4
233,"“Connais pas,” Georgette answered.",0.0,0.0,0.0
234,"“But you have the same name,” Mrs. Braddocks insisted cordially.",0.0,0.0,0.125
235,"“No,” said Georgette.",0.0,0.0,0.0
236,“Not at all.,0.0,0.0,0.0
237,My name is Hobin.” “But Mr. Barnes introduced you as Mademoiselle Georgette Leblanc.,0.0,0.0,0.0
238,"Surely he did,” insisted Mrs. Braddocks, who in the excitement of talking French was liable to have no idea what she was saying.",0.5994,0.13333333333333333,0.46296296296296297
239,"“He’s a fool,” Georgette said.",0.0,0.0,0.0
240,"“Oh, it was a joke, then,” Mrs. Braddocks said.",0.296,0.0,0.0
241,"“Yes,” said Georgette.",0.0,0.0,0.0
242,"“To laugh at.” “Did you hear that, Henry?” Mrs. Braddocks called down the table to Braddocks.",0.5574,0.0722222222222222,0.19444444444444448
243,“Mr.,0.0,0.0,0.0
244,"Barnes introduced his fiancée as Mademoiselle Leblanc, and her name is actually Hobin.” “Of course, darling.",0.5859,0.0,0.1
245,"Mademoiselle Hobin, I’ve known her for a very long time.” “Oh, Mademoiselle Hobin,” Frances Clyne called, speaking French very rapidly and not seeming so proud and astonished as Mrs. Braddocks at its coming out really French.",0.7817,0.187,0.364
246,“Have you been in Paris long?,0.0,-0.05,0.4
247,Do you like it here?,0.3612,0.0,0.0
248,"You love Paris, do you not?” “Who’s she?” Georgette turned to me.",0.6767,0.5,0.6
249,"“Do I have to talk to her?” She turned to Frances, sitting smiling, her hands folded, her head poised on her long neck, her lips pursed ready to start talking again.",0.7579,0.07500000000000001,0.45
250,"“No, I don’t like Paris.",0.3612,0.0,0.0
251,It’s expensive and dirty.” “Really?,0.0,-0.30000000000000004,0.5666666666666667
252,I find it so extraordinarily clean.,0.4549,0.3666666666666667,0.7000000000000001
253,One of the cleanest cities in all Europe.” “I find it dirty.” “How strange!,-0.2714,-0.33125,0.47500000000000003
254,But perhaps you have not been here very long.” “I’ve been here long enough.” “But it does have nice people in it.,0.5719,0.12125,0.605
255,One must grant that.” Georgette turned to me.,0.3612,0.0,0.0
256,"“You have nice friends.” Frances was a little drunk and would have liked to have kept it up but the coffee came, and Lavigne with the liqueurs, and after that we all went out and started for Braddocks’s dancing-club.",0.3064,0.128125,0.825
257,The dancing-club was a _bal musette_ in the Rue de la Montagne Sainte Geneviève.,0.0,0.0,0.0
258,Five nights a week the working people of the Pantheon quarter danced there.,0.0,0.0,0.0
259,One night a week it was the dancing-club.,0.0,0.0,0.0
260,On Monday nights it was closed.,0.0,-0.1,0.1
261,"When we arrived it was quite empty, except for a policeman sitting near the door, the wife of the proprietor back of the zinc bar, and the proprietor himself.",-0.2716,0.0,0.3
262,The daughter of the house came downstairs as we went in.,0.0,0.0,0.0
263,"There were long benches, and tables ran across the room, and at the far end a dancing-floor.",0.0,0.025,0.7
264,"“I wish people would come earlier,” Braddocks said.",0.4019,0.0,0.5
265,The daughter came up and wanted to know what we would drink.,0.0,0.0,0.0
266,The proprietor got up on a high stool beside the dancing-floor and began to play the accordion.,0.34,0.16,0.5399999999999999
267,He had a string of bells around one of his ankles and beat time with his foot as he played.,0.34,0.0,0.0
268,Every one danced.,0.0,0.0,0.0
269,It was hot and we came off the floor perspiring.,0.0,0.25,0.8500000000000001
270,"“My God,” Georgette said.",0.0,0.0,0.0
271,"“What a box to sweat in!” “It’s hot.” “Hot, my God!” “Take off your hat.” “That’s a good idea.” Some one asked Georgette to dance, and I went over to the bar.",0.5399,0.42083333333333334,0.7666666666666667
272,It was really very hot and the accordion music was pleasant in the hot night.,0.5106,0.4361111111111111,0.938888888888889
273,"I drank a beer, standing in the doorway and getting the cool breath of wind from the street.",0.3182,0.35,0.65
274,Two taxis were coming down the steep street.,0.0,-0.15555555555555559,0.2888888888888889
275,They both stopped in front of the Bal.,-0.2263,0.0,0.0
276,"A crowd of young men, some in jerseys and some in their shirt-sleeves, got out.",0.0,0.1,0.4
277,"I could see their hands and newly washed, wavy hair in the light from the door.",0.0,0.2681818181818182,0.5772727272727273
278,The policeman standing by the door looked at me and smiled.,0.5423,0.6,0.2
279,They came in.,0.0,0.0,0.0
280,"As they went in, under the light I saw white hands, wavy hair, white faces, grimacing, gesturing, talking.",-0.34,0.13333333333333333,0.2333333333333333
281,With them was Brett.,0.0,0.0,0.0
282,She looked very lovely and she was very much with them.,0.624,0.455,0.6175
283,One of them saw Georgette and said: “I do declare.,0.0,0.0,0.0
284,There is an actual harlot.,0.0,0.0,0.1
285,"I’m going to dance with her, Lett.",0.0,0.0,0.0
286,"You watch me.” The tall dark one, called Lett, said: “Don’t you be rash.” The wavy blond one answered: “Don’t you worry, dear.” And with them was Brett.",-0.4404,-0.15,0.4
287,I was very angry.,-0.5563,-0.65,1.0
288,Somehow they always made me angry.,-0.5106,-0.5,1.0
