w0,w1,n,mle
<s>,including,1,1.0067755997865636e-05
<s>,indeed,1,1.0067755997865636e-05
<s>,injustice,1,1.0067755997865636e-05
<s>,inside,9,9.060980398079073e-05
<s>,instead,1,1.0067755997865636e-05
<s>,interesting,1,1.0067755997865636e-05
<s>,internally,1,1.0067755997865636e-05
<s>,introduce,1,1.0067755997865636e-05
<s>,is,24,0.00024162614394877526
<s>,isnt,19,0.00019128736395944708
<s>,iss,1,1.0067755997865636e-05
<s>,it,269,0.002708226363425856
<s>,itd,1,1.0067755997865636e-05
<s>,its,107,0.001077249891771623
<s>,ive,56,0.0005637943358804756
<s>,jacob,2,2.0135511995731273e-05
<s>,jake,7,7.047429198505945e-05
<s>,jakes,1,1.0067755997865636e-05
<s>,jerez,1,1.0067755997865636e-05
<s>,joke,1,1.0067755997865636e-05
<s>,jolly,1,1.0067755997865636e-05
<s>,just,30,0.00030203267993596906
<s>,kansas,2,2.0135511995731273e-05
<s>,kept,1,1.0067755997865636e-05
<s>,kiss,1,1.0067755997865636e-05
<s>,knocked,1,1.0067755997865636e-05
<s>,know,1,1.0067755997865636e-05
<s>,knows,1,1.0067755997865636e-05
<s>,krum,1,1.0067755997865636e-05
<s>,l,1,1.0067755997865636e-05
<s>,la,1,1.0067755997865636e-05
<s>,lady,3,3.0203267993596907e-05
<s>,last,5,5.0338779989328176e-05
<s>,lasted,1,1.0067755997865636e-05
<s>,late,1,1.0067755997865636e-05
<s>,later,4,4.0271023991462545e-05
<s>,lavignes,1,1.0067755997865636e-05
<s>,lazare,1,1.0067755997865636e-05
<s>,le,1,1.0067755997865636e-05
<s>,leave,1,1.0067755997865636e-05
<s>,leaving,1,1.0067755997865636e-05
<s>,ledoux,1,1.0067755997865636e-05
<s>,let,21,0.00021142287595517836
<s>,lets,50,0.0005033877998932818
<s>,letter,2,2.0135511995731273e-05
<s>,lie,1,1.0067755997865636e-05
<s>,life,1,1.0067755997865636e-05
<s>,lift,2,2.0135511995731273e-05
<s>,like,10,0.00010067755997865635
<s>,limpia,1,1.0067755997865636e-05
<s>,lincoln,1,1.0067755997865636e-05
<s>,linked,1,1.0067755997865636e-05
<s>,listen,11,0.00011074531597652199
<s>,little,1,1.0067755997865636e-05
<s>,live,1,1.0067755997865636e-05
<s>,lives,1,1.0067755997865636e-05
<s>,loaned,1,1.0067755997865636e-05
<s>,look,22,0.00022149063195304398
<s>,looked,1,1.0067755997865636e-05
<s>,looking,2,2.0135511995731273e-05
<s>,lord,1,1.0067755997865636e-05
<s>,lot,1,1.0067755997865636e-05
<s>,louis,1,1.0067755997865636e-05
<s>,love,3,3.0203267993596907e-05
<s>,low,1,1.0067755997865636e-05
<s>,lucky,1,1.0067755997865636e-05
<s>,m,1,1.0067755997865636e-05
<s>,mademoiselle,1,1.0067755997865636e-05
<s>,make,5,5.0338779989328176e-05
<s>,makes,3,3.0203267993596907e-05
<s>,making,1,1.0067755997865636e-05
<s>,many,1,1.0067755997865636e-05
<s>,marcial,6,6.0406535987193814e-05
<s>,mark,1,1.0067755997865636e-05
<s>,married,1,1.0067755997865636e-05
<s>,mason,1,1.0067755997865636e-05
<s>,maybe,8,8.054204798292509e-05
<s>,me,3,3.0203267993596907e-05
<s>,mean,1,1.0067755997865636e-05
<s>,medals,1,1.0067755997865636e-05
<s>,men,3,3.0203267993596907e-05
<s>,mencken,1,1.0067755997865636e-05
<s>,met,1,1.0067755997865636e-05
<s>,michael,6,6.0406535987193814e-05
<s>,michaels,4,4.0271023991462545e-05
<s>,michel,3,3.0203267993596907e-05
<s>,might,3,3.0203267993596907e-05
<s>,mighty,1,1.0067755997865636e-05
<s>,mike,52,0.000523523311889013
<s>,mind,1,1.0067755997865636e-05
<s>,moisture,1,1.0067755997865636e-05
<s>,monday,1,1.0067755997865636e-05
<s>,money,2,2.0135511995731273e-05
<s>,monte,1,1.0067755997865636e-05
<s>,montoya,19,0.00019128736395944708
<s>,most,1,1.0067755997865636e-05
<s>,mother,1,1.0067755997865636e-05
<s>,mothers,1,1.0067755997865636e-05
<s>,mr,9,9.060980398079073e-05
<s>,mrs,5,5.0338779989328176e-05
<s>,muerto,2,2.0135511995731273e-05
<s>,mumms,1,1.0067755997865636e-05
<s>,mummy,1,1.0067755997865636e-05
<s>,music,1,1.0067755997865636e-05
<s>,must,3,3.0203267993596907e-05
<s>,muy,3,3.0203267993596907e-05
<s>,my,26,0.0002617616559445065
<s>,nada,1,1.0067755997865636e-05
<s>,named,1,1.0067755997865636e-05
<s>,neither,1,1.0067755997865636e-05
<s>,never,13,0.00013088082797225325
<s>,nevertheless,1,1.0067755997865636e-05
<s>,new,1,1.0067755997865636e-05
<s>,next,1,1.0067755997865636e-05
<s>,nice,2,2.0135511995731273e-05
<s>,nigger,2,2.0135511995731273e-05
<s>,niggerd,1,1.0067755997865636e-05
<s>,nineteen,1,1.0067755997865636e-05
<s>,ninth,1,1.0067755997865636e-05
<s>,nix,1,1.0067755997865636e-05
<s>,no,137,0.0013792825717075922
<s>,nobody,7,7.047429198505945e-05
<s>,none,2,2.0135511995731273e-05
<s>,nope,1,1.0067755997865636e-05
<s>,nor,1,1.0067755997865636e-05
<s>,not,37,0.0003725069719210285
<s>,nothing,13,0.00013088082797225325
<s>,now,22,0.00022149063195304398
<s>,nurses,1,1.0067755997865636e-05
<s>,of,14,0.0001409485839701189
<s>,off,2,2.0135511995731273e-05
<s>,offered,2,2.0135511995731273e-05
<s>,oh,117,0.0011779274517502794
<s>,old,4,4.0271023991462545e-05
<s>,on,13,0.00013088082797225325
<s>,once,2,2.0135511995731273e-05
<s>,one,34,0.0003423037039274316
<s>,ones,1,1.0067755997865636e-05
<s>,only,5,5.0338779989328176e-05
<s>,or,10,0.00010067755997865635
<s>,ordinarily,1,1.0067755997865636e-05
<s>,others,1,1.0067755997865636e-05
<s>,ought,1,1.0067755997865636e-05
<s>,our,3,3.0203267993596907e-05
<s>,out,7,7.047429198505945e-05
<s>,outside,21,0.00021142287595517836
<s>,over,1,1.0067755997865636e-05
<s>,owns,1,1.0067755997865636e-05
<s>,paris,2,2.0135511995731273e-05
<s>,pedro,9,9.060980398079073e-05
<s>,people,10,0.00010067755997865635
<s>,perfectly,1,1.0067755997865636e-05
<s>,perhaps,8,8.054204798292509e-05
<s>,pernod,2,2.0135511995731273e-05
<s>,photographs,1,1.0067755997865636e-05
<s>,pick,2,2.0135511995731273e-05
<s>,pilgrims,1,1.0067755997865636e-05
<s>,pipe,3,3.0203267993596907e-05
<s>,playing,1,1.0067755997865636e-05
<s>,please,11,0.00011074531597652199
<s>,poor,7,7.047429198505945e-05
<s>,por,1,1.0067755997865636e-05
<s>,possible,1,1.0067755997865636e-05
<s>,possibly,1,1.0067755997865636e-05
<s>,practical,1,1.0067755997865636e-05
<s>,pretty,4,4.0271023991462545e-05
<s>,probably,7,7.047429198505945e-05
<s>,promoter,1,1.0067755997865636e-05
<s>,put,3,3.0203267993596907e-05
<s>,quite,5,5.0338779989328176e-05
<s>,rafael,1,1.0067755997865636e-05
<s>,rather,6,6.0406535987193814e-05
<s>,really,12,0.00012081307197438763
<s>,remarkable,1,1.0067755997865636e-05
<s>,remember,8,8.054204798292509e-05
<s>,right,8,8.054204798292509e-05
<s>,ring,1,1.0067755997865636e-05
<s>,road,1,1.0067755997865636e-05
<s>,robert,26,0.0002617616559445065
<s>,roberts,1,1.0067755997865636e-05
<s>,rockets,1,1.0067755997865636e-05
<s>,romero,30,0.00030203267993596906
<s>,romeros,4,4.0271023991462545e-05
<s>,rotten,3,3.0203267993596907e-05
<s>,said,11,0.00011074531597652199
<s>,san,3,3.0203267993596907e-05
<s>,saturday,1,1.0067755997865636e-05
<s>,save,1,1.0067755997865636e-05
<s>,say,12,0.00012081307197438763
<s>,says,1,1.0067755997865636e-05
<s>,secret,1,1.0067755997865636e-05
<s>,see,14,0.0001409485839701189
<s>,seemed,1,1.0067755997865636e-05
<s>,seemingly,1,1.0067755997865636e-05
<s>,seems,2,2.0135511995731273e-05
<s>,seen,1,1.0067755997865636e-05
<s>,sell,1,1.0067755997865636e-05
<s>,send,4,4.0271023991462545e-05
<s>,senlis,1,1.0067755997865636e-05
<s>,sent,2,2.0135511995731273e-05
<s>,set,1,1.0067755997865636e-05
<s>,settled,1,1.0067755997865636e-05
<s>,several,4,4.0271023991462545e-05
<s>,sex,1,1.0067755997865636e-05
<s>,shaking,1,1.0067755997865636e-05
<s>,she,152,0.0015302989116755766
<s>,shed,1,1.0067755997865636e-05
<s>,shell,2,2.0135511995731273e-05
<s>,sherry,1,1.0067755997865636e-05
<s>,shes,20,0.0002013551199573127
<s>,shoot,1,1.0067755997865636e-05
<s>,should,5,5.0338779989328176e-05
<s>,show,1,1.0067755997865636e-05
<s>,showed,1,1.0067755997865636e-05
<s>,shrimps,1,1.0067755997865636e-05
<s>,shut,5,5.0338779989328176e-05
<s>,si,1,1.0067755997865636e-05
<s>,sight,1,1.0067755997865636e-05
<s>,silly,1,1.0067755997865636e-05
<s>,simple,1,1.0067755997865636e-05
<s>,simply,1,1.0067755997865636e-05
<s>,since,1,1.0067755997865636e-05
<s>,singing,1,1.0067755997865636e-05
<s>,sit,8,8.054204798292509e-05
<s>,sitting,1,1.0067755997865636e-05
<s>,six,1,1.0067755997865636e-05
<s>,smaller,1,1.0067755997865636e-05
<s>,so,41,0.00041277799591249106
<s>,soldiering,1,1.0067755997865636e-05
<s>,some,24,0.00024162614394877526
<s>,somebody,4,4.0271023991462545e-05
<s>,somehow,3,3.0203267993596907e-05
<s>,something,4,4.0271023991462545e-05
<s>,sometimes,7,7.047429198505945e-05
<s>,sommelier,1,1.0067755997865636e-05
<s>,soon,1,1.0067755997865636e-05
<s>,sore,1,1.0067755997865636e-05
<s>,sorry,1,1.0067755997865636e-05
<s>,sounds,1,1.0067755997865636e-05
<s>,south,2,2.0135511995731273e-05
<s>,spain,2,2.0135511995731273e-05
<s>,spider,2,2.0135511995731273e-05
<s>,splendid,5,5.0338779989328176e-05
<s>,spread,1,1.0067755997865636e-05
<s>,standing,2,2.0135511995731273e-05
<s>,started,1,1.0067755997865636e-05
<s>,stay,1,1.0067755997865636e-05
<s>,stick,1,1.0067755997865636e-05
<s>,still,5,5.0338779989328176e-05
<s>,stop,3,3.0203267993596907e-05
<s>,stopped,2,2.0135511995731273e-05
<s>,students,1,1.0067755997865636e-05
<s>,studying,1,1.0067755997865636e-05
<s>,such,1,1.0067755997865636e-05
<s>,suddenly,4,4.0271023991462545e-05
<s>,suppose,1,1.0067755997865636e-05
<s>,sure,19,0.00019128736395944708
<s>,surely,1,1.0067755997865636e-05
<s>,take,8,8.054204798292509e-05
<s>,talk,1,1.0067755997865636e-05
<s>,talking,1,1.0067755997865636e-05
<s>,talkings,1,1.0067755997865636e-05
<s>,technically,1,1.0067755997865636e-05
<s>,tell,34,0.0003423037039274316
<s>,tempt,1,1.0067755997865636e-05
<s>,ten,1,1.0067755997865636e-05
<s>,thaats,1,1.0067755997865636e-05
<s>,thank,8,8.054204798292509e-05
<s>,thanks,8,8.054204798292509e-05
<s>,that,63,0.0006342686278655351
<s>,thats,61,0.0006141331158698038
<s>,the,468,0.0047117098070011175
<s>,their,3,3.0203267993596907e-05
<s>,then,61,0.0006141331158698038
<s>,there,125,0.0012584694997332044
<s>,therell,2,2.0135511995731273e-05
<s>,theres,20,0.0002013551199573127
<s>,these,5,5.0338779989328176e-05
<s>,they,167,0.001681315251643561
<s>,theyll,1,1.0067755997865636e-05
<s>,theyre,34,0.0003423037039274316
<s>,theyve,10,0.00010067755997865635
<s>,things,2,2.0135511995731273e-05
<s>,think,4,4.0271023991462545e-05
<s>,thirty,1,1.0067755997865636e-05
<s>,this,36,0.0003624392159231629
<s>,those,2,2.0135511995731273e-05
<s>,thought,1,1.0067755997865636e-05
<s>,three,4,4.0271023991462545e-05
<s>,through,4,4.0271023991462545e-05
<s>,tight,2,2.0135511995731273e-05
<s>,to,17,0.0001711518519637158
<s>,together,1,1.0067755997865636e-05
<s>,told,6,6.0406535987193814e-05
<s>,tons,1,1.0067755997865636e-05
<s>,too,4,4.0271023991462545e-05
<s>,toro,1,1.0067755997865636e-05
<s>,travel,1,1.0067755997865636e-05
<s>,trees,1,1.0067755997865636e-05
<s>,true,1,1.0067755997865636e-05
<s>,try,8,8.054204798292509e-05
<s>,twelve,1,1.0067755997865636e-05
<s>,two,9,9.060980398079073e-05
<s>,under,1,1.0067755997865636e-05
<s>,undressing,1,1.0067755997865636e-05
<s>,unless,1,1.0067755997865636e-05
<s>,up,9,9.060980398079073e-05
<s>,utilize,2,2.0135511995731273e-05
<s>,vaya,1,1.0067755997865636e-05
<s>,vengo,1,1.0067755997865636e-05
<s>,very,14,0.0001409485839701189
<s>,veuve,1,1.0067755997865636e-05
<s>,vienna,1,1.0067755997865636e-05
<s>,w,1,1.0067755997865636e-05
<s>,wait,4,4.0271023991462545e-05
<s>,wake,1,1.0067755997865636e-05
<s>,walk,2,2.0135511995731273e-05
<s>,walking,1,1.0067755997865636e-05
<s>,want,16,0.00016108409596585018
<s>,wanted,2,2.0135511995731273e-05
<s>,wants,1,1.0067755997865636e-05
<s>,was,10,0.00010067755997865635
<s>,wasnt,4,4.0271023991462545e-05
<s>,watch,3,3.0203267993596907e-05
<s>,way,2,2.0135511995731273e-05
<s>,we,286,0.0028793782153895718
<s>,wed,4,4.0271023991462545e-05
<s>,wednesday,2,2.0135511995731273e-05
<s>,well,80,0.0008054204798292508
<s>,went,1,1.0067755997865636e-05
<s>,were,21,0.00021142287595517836
<s>,werent,1,1.0067755997865636e-05
<s>,weve,9,9.060980398079073e-05
<s>,what,122,0.0012282662317396075
<s>,whatll,2,2.0135511995731273e-05
<s>,whats,30,0.00030203267993596906
<s>,wheeler,2,2.0135511995731273e-05
<s>,when,58,0.0005839298478762069
<s>,where,45,0.0004530490199039536
<s>,whered,1,1.0067755997865636e-05
<s>,wheres,7,7.047429198505945e-05
<s>,whew,1,1.0067755997865636e-05
<s>,while,4,4.0271023991462545e-05
