line_num,line_str,n,chap_num
185,,0,1
186,"“Hell,” I said, “why go to Strasbourg? We could go up to Bruges, or to",70,1
187,the Ardennes.”,14,1
188,,0,1
189,Cohn looked relieved. I was not kicked again. I said good-night and went,72,1
190,out. Cohn said he wanted to buy a paper and would walk to the corner,68,1
191,"with me. “For God’s sake,” he said, “why did you say that about that",68,1
192,girl in Strasbourg for? Didn’t you see Frances?”,48,1
193,,0,1
194,"“No, why should I? If I know an American girl that lives in Strasbourg",70,1
195,what the hell is it to Frances?”,32,1
196,,0,1
197,"“It doesn’t make any difference. Any girl. I couldn’t go, that would be",71,1
198,all.”,5,1
199,,0,1
200,“Don’t be silly.”,17,1
201,,0,1
202,“You don’t know Frances. Any girl at all. Didn’t you see the way she,68,1
203,looked?”,8,1
204,,0,1
205,"“Oh, well,” I said, “let’s go to Senlis.”",41,1
206,,0,1
207,“Don’t get sore.”,17,1
208,,0,1
209,“I’m not sore. Senlis is a good place and we can stay at the Grand Cerf,71,1
210,and take a hike in the woods and come home.”,44,1
211,,0,1
212,"“Good, that will be fine.”",26,1
213,,0,1
214,"“Well, I’ll see you to-morrow at the courts,” I said.",53,1
215,,0,1
216,"“Good-night, Jake,” he said, and started back to the café.",58,1
217,,0,1
218,"“You forgot to get your paper,” I said.",39,1
219,,0,1
220,“That’s so.” He walked with me up to the kiosque at the corner. “You are,72,1
221,"not sore, are you, Jake?” He turned with the paper in his hand.",63,1
222,,0,1
223,"“No, why should I be?”",22,1
224,,0,1
225,"“See you at tennis,” he said. I watched him walk back to the café",65,1
226,holding his paper. I rather liked him and evidently she led him quite a,71,1
227,life.,5,1
228,,0,1
229,,0,1
230,,0,1
231,,0,1
233,2,1,2
234,,0,2
235,,0,2
236,"That winter Robert Cohn went over to America with his novel, and it was",71,2
237,accepted by a fairly good publisher. His going made an awful row I,66,2
238,"heard, and I think that was where Frances lost him, because several",67,2
239,"women were nice to him in New York, and when he came back he was quite",70,2
240,"changed. He was more enthusiastic about America than ever, and he was",69,2
241,"not so simple, and he was not so nice. The publishers had praised his",69,2
242,novel pretty highly and it rather went to his head. Then several women,70,2
243,"had put themselves out to be nice to him, and his horizons had all",66,2
244,shifted. For four years his horizon had been absolutely limited to his,70,2
245,"wife. For three years, or almost three years, he had never seen beyond",70,2
246,Frances. I am sure he had never been in love in his life.,57,2
247,,0,2
248,"He had married on the rebound from the rotten time he had in college,",69,2
249,and Frances took him on the rebound from his discovery that he had not,70,2
250,been everything to his first wife. He was not in love yet but he,64,2
251,"realized that he was an attractive quantity to women, and that the fact",71,2
252,of a woman caring for him and wanting to live with him was not simply a,71,2
253,divine miracle. This changed him so that he was not so pleasant to have,71,2
254,"around. Also, playing for higher stakes than he could afford in some",68,2
255,"rather steep bridge games with his New York connections, he had held",68,2
256,cards and won several hundred dollars. It made him rather vain of his,69,2
257,"bridge game, and he talked several times of how a man could always make",71,2
258,a living at bridge if he were ever forced to.,45,2
259,,0,2
260,Then there was another thing. He had been reading W. H. Hudson. That,68,2
261,"sounds like an innocent occupation, but Cohn had read and reread “The",69,2
262,Purple Land.” “The Purple Land” is a very sinister book if read too late,72,2
263,in life. It recounts splendid imaginary amorous adventures of a perfect,71,2
264,"English gentleman in an intensely romantic land, the scenery of which is",72,2
265,very well described. For a man to take it at thirty-four as a guide-book,72,2
266,to what life holds is about as safe as it would be for a man of the same,72,2
267,"age to enter Wall Street direct from a French convent, equipped with a",70,2
268,"complete set of the more practical Alger books. Cohn, I believe, took",69,2
269,every word of “The Purple Land” as literally as though it had been an,69,2
270,"R. G. Dun report. You understand me, he made some reservations, but on",70,2
271,the whole the book to him was sound. It was all that was needed to set,70,2
272,him off. I did not realize the extent to which it had set him off until,71,2
273,one day he came into my office.,31,2
274,,0,2
275,"“Hello, Robert,” I said. “Did you come in to cheer me up?”",58,2
276,,0,2
277,"“Would you like to go to South America, Jake?” he asked.",56,2
278,,0,2
279,“No.”,5,2
280,,0,2
281,“Why not?”,10,2
282,,0,2
283,“I don’t know. I never wanted to go. Too expensive. You can see all the,71,2
284,South Americans you want in Paris anyway.”,42,2
285,,0,2
286,“They’re not the real South Americans.”,39,2
287,,0,2
288,“They look awfully real to me.”,31,2
289,,0,2
290,"I had a boat train to catch with a week’s mail stories, and only half of",72,2
291,them written.,13,2
292,,0,2
293,“Do you know any dirt?” I asked.,32,2
294,,0,2
295,“No.”,5,2
296,,0,2
297,“None of your exalted connections getting divorces?”,52,2
298,,0,2
299,"“No; listen, Jake. If I handled both our expenses, would you go to South",72,2
300,America with me?”,17,2
301,,0,2
302,“Why me?”,9,2
303,,0,2
304,“You can talk Spanish. And it would be more fun with two of us.”,64,2
305,,0,2
306,"“No,” I said, “I like this town and I go to Spain in the summer-time.”",70,2
307,,0,2
308,"“All my life I’ve wanted to go on a trip like that,” Cohn said. He sat",70,2
309,down. “I’ll be too old before I can ever do it.”,48,2
310,,0,2
311,"“Don’t be a fool,” I said. “You can go anywhere you want. You’ve got",68,2
312,plenty of money.”,17,2
313,,0,2
314,“I know. But I can’t get started.”,34,2
315,,0,2
316,"“Cheer up,” I said. “All countries look just like the moving pictures.”",71,2
317,,0,2
318,But I felt sorry for him. He had it badly.,42,2
319,,0,2
320,“I can’t stand it to think my life is going so fast and I’m not really,70,2
321,living it.”,11,2
322,,0,2
323,“Nobody ever lives their life all the way up except bull-fighters.”,67,2
324,,0,2
325,“I’m not interested in bull-fighters. That’s an abnormal life. I want to,72,2
326,go back in the country in South America. We could have a great trip.”,69,2
327,,0,2
328,“Did you ever think about going to British East Africa to shoot?”,65,2
329,,0,2
330,"“No, I wouldn’t like that.”",27,2
331,,0,2
332,“I’d go there with you.”,24,2
333,,0,2
334,“No; that doesn’t interest me.”,31,2
335,,0,2
336,“That’s because you never read a book about it. Go on and read a book,69,2
337,all full of love affairs with the beautiful shiny black princesses.”,68,2
338,,0,2
339,“I want to go to South America.”,32,2
340,,0,2
341,"He had a hard, Jewish, stubborn streak.",39,2
342,,0,2
343,“Come on down-stairs and have a drink.”,39,2
344,,0,2
345,“Aren’t you working?”,21,2
346,,0,2
347,"“No,” I said. We went down the stairs to the café on the ground floor. I",72,2
348,had discovered that was the best way to get rid of friends. Once you had,72,2
349,"a drink all you had to say was: “Well, I’ve got to get back and get off",71,2
350,"some cables,” and it was done. It is very important to discover graceful",72,2
351,"exits like that in the newspaper business, where it is such an important",72,2
352,"part of the ethics that you should never seem to be working. Anyway, we",71,2
353,went down-stairs to the bar and had a whiskey and soda. Cohn looked at,70,2
354,"the bottles in bins around the wall. “This is a good place,” he said.",69,2
355,,0,2
356,"“There’s a lot of liquor,” I agreed.",36,2
357,,0,2
358,"“Listen, Jake,” he leaned forward on the bar. “Don’t you ever get the",69,2
359,feeling that all your life is going by and you’re not taking advantage,70,2
360,of it? Do you realize you’ve lived nearly half the time you have to live,72,2
361,already?”,9,2
362,,0,2
363,"“Yes, every once in a while.”",29,2
364,,0,2
365,“Do you know that in about thirty-five years more we’ll be dead?”,65,2
366,,0,2
367,"“What the hell, Robert,” I said. “What the hell.”",49,2
368,,0,2
369,“I’m serious.”,14,2
370,,0,2
371,"“It’s one thing I don’t worry about,” I said.",45,2
372,,0,2
373,“You ought to.”,15,2
374,,0,2
375,“I’ve had plenty to worry about one time or other. I’m through,62,2
376,worrying.”,10,2
377,,0,2
378,"“Well, I want to go to South America.”",38,2
379,,0,2
380,"“Listen, Robert, going to another country doesn’t make any difference.",70,2
381,I’ve tried all that. You can’t get away from yourself by moving from one,72,2
382,place to another. There’s nothing to that.”,43,2
383,,0,2
384,“But you’ve never been to South America.”,41,2
385,,0,2
386,“South America hell! If you went there the way you feel now it would be,71,2
387,exactly the same. This is a good town. Why don’t you start living your,70,2
388,life in Paris?”,15,2
389,,0,2
390,"“I’m sick of Paris, and I’m sick of the Quarter.”",49,2
391,,0,2
392,“Stay away from the Quarter. Cruise around by yourself and see what,67,2
393,happens to you.”,16,2
394,,0,2
395,“Nothing happens to me. I walked alone all one night and nothing,64,2
396,happened except a bicycle cop stopped me and asked to see my papers.”,69,2
397,,0,2
398,“Wasn’t the town nice at night?”,32,2
399,,0,2
400,“I don’t care for Paris.”,25,2
401,,0,2
402,"So there you were. I was sorry for him, but it was not a thing you could",72,2
403,"do anything about, because right away you ran up against the two",64,2
404,stubbornnesses: South America could fix it and he did not like Paris. He,72,2
405,"got the first idea out of a book, and I suppose the second came out of a",72,2
406,book too.,9,2
407,,0,2
408,"“Well,” I said, “I’ve got to go up-stairs and get off some cables.”",67,2
409,,0,2
410,“Do you really have to go?”,27,2
411,,0,2
412,"“Yes, I’ve got to get these cables off.”",40,2
413,,0,2
414,“Do you mind if I come up and sit around the office?”,53,2
415,,0,2
416,"“No, come on up.”",17,2
417,,0,2
418,"He sat in the outer room and read the papers, and the Editor and",64,2
419,Publisher and I worked hard for two hours. Then I sorted out the,64,2
420,"carbons, stamped on a by-line, put the stuff in a couple of big manila",70,2
421,envelopes and rang for a boy to take them to the Gare St. Lazare. I went,72,2
422,out into the other room and there was Robert Cohn asleep in the big,67,2
423,chair. He was asleep with his head on his arms. I did not like to wake,70,2
424,"him up, but I wanted to lock the office and shove off. I put my hand on",71,2
425,"his shoulder. He shook his head. “I can’t do it,” he said, and put his",70,2
426,head deeper into his arms. “I can’t do it. Nothing will make me do it.”,71,2
427,,0,2
428,"“Robert,” I said, and shook him by the shoulder. He looked up. He smiled",72,2
429,and blinked.,12,2
430,,0,2
431,“Did I talk out loud just then?”,32,2
432,,0,2
433,“Something. But it wasn’t clear.”,33,2
434,,0,2
435,"“God, what a rotten dream!”",27,2
436,,0,2
437,“Did the typewriter put you to sleep?”,38,2
438,,0,2
439,“Guess so. I didn’t sleep all last night.”,42,2
440,,0,2
441,“What was the matter?”,22,2
442,,0,2
443,"“Talking,” he said.",19,2
444,,0,2
445,I could picture it. I have a rotten habit of picturing the bedroom,66,2
446,scenes of my friends. We went out to the Café Napolitain to have an,67,2
447,_apéritif_ and watch the evening crowd on the Boulevard.,56,2
448,,0,2
449,,0,2
450,,0,2
451,,0,2
453,3,1,3
454,,0,3
455,,0,3
456,It was a warm spring night and I sat at a table on the terrace of the,69,3
457,"Napolitain after Robert had gone, watching it get dark and the electric",71,3
458,"signs come on, and the red and green stop-and-go traffic-signal, and the",72,3
459,"crowd going by, and the horse-cabs clippety-clopping along at the edge",70,3
460,"of the solid taxi traffic, and the _poules_ going by, singly and in",67,3
461,"pairs, looking for the evening meal. I watched a good-looking girl walk",71,3
462,"past the table and watched her go up the street and lost sight of her,",70,3
463,"and watched another, and then saw the first one coming back again. She",70,3
464,"went by once more and I caught her eye, and she came over and sat down",70,3
465,at the table. The waiter came up.,33,3
466,,0,3
467,"“Well, what will you drink?” I asked.",37,3
468,,0,3
469,“Pernod.”,9,3
470,,0,3
471,“That’s not good for little girls.”,35,3
472,,0,3
473,"“Little girl yourself. Dites garçon, un pernod.”",48,3
474,,0,3
475,"“A pernod for me, too.”",23,3
476,,0,3
477,“What’s the matter?” she asked. “Going on a party?”,51,3
478,,0,3
479,“Sure. Aren’t you?”,19,3
480,,0,3
481,“I don’t know. You never know in this town.”,44,3
482,,0,3
483,“Don’t you like Paris?”,23,3
484,,0,3
485,“No.”,5,3
486,,0,3
487,“Why don’t you go somewhere else?”,34,3
488,,0,3
489,“Isn’t anywhere else.”,22,3
490,,0,3
491,"“You’re happy, all right.”",26,3
492,,0,3
493,"“Happy, hell!”",14,3
494,,0,3
495,Pernod is greenish imitation absinthe. When you add water it turns,66,3
496,"milky. It tastes like licorice and it has a good uplift, but it drops",69,3
497,"you just as far. We sat and drank it, and the girl looked sullen.",65,3
498,,0,3
499,"“Well,” I said, “are you going to buy me a dinner?”",51,3
500,,0,3
501,She grinned and I saw why she made a point of not laughing. With her,68,3
502,mouth closed she was a rather pretty girl. I paid for the saucers and we,72,3
503,walked out to the street. I hailed a horse-cab and the driver pulled up,71,3
504,"at the curb. Settled back in the slow, smoothly rolling _fiacre_ we",67,3
505,"moved up the Avenue de l’Opéra, passed the locked doors of the shops,",69,3
506,"their windows lighted, the Avenue broad and shiny and almost deserted.",70,3
507,The cab passed the New York _Herald_ bureau with the window full of,67,3
508,clocks.,7,3
509,,0,3
510,“What are all the clocks for?” she asked.,41,3
511,,0,3
512,“They show the hour all over America.”,38,3
513,,0,3
514,“Don’t kid me.”,15,3
515,,0,3
516,"We turned off the Avenue up the Rue des Pyramides, through the traffic",70,3
517,"of the Rue de Rivoli, and through a dark gate into the Tuileries. She",69,3
518,cuddled against me and I put my arm around her. She looked up to be,67,3
519,kissed. She touched me with one hand and I put her hand away.,61,3
520,,0,3
521,“Never mind.”,13,3
522,,0,3
523,“What’s the matter? You sick?”,30,3
524,,0,3
525,“Yes.”,6,3
526,,0,3
527,"“Everybody’s sick. I’m sick, too.”",34,3
528,,0,3
529,We came out of the Tuileries into the light and crossed the Seine and,69,3
530,then turned up the Rue des Saints Pères.,40,3
531,,0,3
532,“You oughtn’t to drink pernod if you’re sick.”,46,3
533,,0,3
534,“You neither.”,14,3
535,,0,3
536,“It doesn’t make any difference with me. It doesn’t make any difference,71,3
537,with a woman.”,14,3
538,,0,3
539,“What are you called?”,22,3
540,,0,3
541,“Georgette. How are you called?”,32,3
542,,0,3
543,“Jacob.”,8,3
544,,0,3
545,“That’s a Flemish name.”,24,3
546,,0,3
547,“American too.”,15,3
548,,0,3
549,“You’re not Flamand?”,21,3
550,,0,3
551,"“No, American.”",15,3
552,,0,3
553,"“Good, I detest Flamands.”",26,3
554,,0,3
555,By this time we were at the restaurant. I called to the _cocher_ to,67,3
556,stop. We got out and Georgette did not like the looks of the place.,67,3
557,“This is no great thing of a restaurant.”,41,3
558,,0,3
559,"“No,” I said. “Maybe you would rather go to Foyot’s. Why don’t you keep",71,3
560,the cab and go on?”,19,3
561,,0,3
562,I had picked her up because of a vague sentimental idea that it would be,72,3
563,nice to eat with some one. It was a long time since I had dined with a,70,3
564,"_poule_, and I had forgotten how dull it could be. We went into the",67,3
565,"restaurant, passed Madame Lavigne at the desk and into a little room.",69,3
566,Georgette cheered up a little under the food.,45,3
567,,0,3
568,"“It isn’t bad here,” she said. “It isn’t chic, but the food is all",66,3
569,right.”,7,3
570,,0,3
571,“Better than you eat in Liège.”,31,3
572,,0,3
573,"“Brussels, you mean.”",21,3
574,,0,3
575,We had another bottle of wine and Georgette made a joke. She smiled and,71,3
576,"showed all her bad teeth, and we touched glasses. “You’re not a bad",67,3
577,"type,” she said. “It’s a shame you’re sick. We get on well. What’s the",70,3
578,"matter with you, anyway?”",25,3
579,,0,3
580,"“I got hurt in the war,” I said.",32,3
581,,0,3
582,"“Oh, that dirty war.”",21,3
583,,0,3
584,We would probably have gone on and discussed the war and agreed that it,71,3
585,"was in reality a calamity for civilization, and perhaps would have been",71,3
586,better avoided. I was bored enough. Just then from the other room some,70,3
587,"one called: “Barnes! I say, Barnes! Jacob Barnes!”",50,3
588,,0,3
589,"“It’s a friend calling me,” I explained, and went out.",54,3
590,,0,3
591,"There was Braddocks at a big table with a party: Cohn, Frances Clyne,",69,3
592,"Mrs. Braddocks, several people I did not know.",46,3
593,,0,3
594,"“You’re coming to the dance, aren’t you?” Braddocks asked.",58,3
595,,0,3
596,“What dance?”,13,3
597,,0,3
598,"“Why, the dancings. Don’t you know we’ve revived them?” Mrs. Braddocks",70,3
599,put in.,7,3
600,,0,3
601,"“You must come, Jake. We’re all going,” Frances said from the end of the",72,3
602,table. She was tall and had a smile.,36,3
603,,0,3
604,"“Of course, he’s coming,” Braddocks said. “Come in and have coffee with",71,3
605,"us, Barnes.”",12,3
606,,0,3
607,“Right.”,8,3
608,,0,3
609,"“And bring your friend,” said Mrs. Braddocks laughing. She was a",64,3
610,Canadian and had all their easy social graces.,46,3
611,,0,3
612,"“Thanks, we’ll be in,” I said. I went back to the small room.",61,3
613,,0,3
614,“Who are your friends?” Georgette asked.,40,3
615,,0,3
616,“Writers and artists.”,22,3
617,,0,3
618,“There are lots of those on this side of the river.”,52,3
619,,0,3
620,“Too many.”,11,3
621,,0,3
622,"“I think so. Still, some of them make money.”",45,3
623,,0,3
624,"“Oh, yes.”",10,3
625,,0,3
626,"We finished the meal and the wine. “Come on,” I said. “We’re going to",69,3
627,have coffee with the others.”,29,3
628,,0,3
629,"Georgette opened her bag, made a few passes at her face as she looked in",72,3
630,"the little mirror, re-defined her lips with the lipstick, and",61,3
631,straightened her hat.,21,3
632,,0,3
633,"“Good,” she said.",17,3
634,,0,3
635,We went into the room full of people and Braddocks and the men at his,69,3
636,table stood up.,15,3
637,,0,3
638,"“I wish to present my fiancée, Mademoiselle Georgette Leblanc,” I said.",71,3
639,"Georgette smiled that wonderful smile, and we shook hands all round.",68,3
640,,0,3
641,"“Are you related to Georgette Leblanc, the singer?” Mrs. Braddocks",66,3
642,asked.,6,3
643,,0,3
644,"“Connais pas,” Georgette answered.",34,3
645,,0,3
646,"“But you have the same name,” Mrs. Braddocks insisted cordially.",64,3
647,,0,3
648,"“No,” said Georgette. “Not at all. My name is Hobin.”",53,3
649,,0,3
650,“But Mr. Barnes introduced you as Mademoiselle Georgette Leblanc. Surely,72,3
651,"he did,” insisted Mrs. Braddocks, who in the excitement of talking",66,3
652,French was liable to have no idea what she was saying.,54,3
653,,0,3
654,"“He’s a fool,” Georgette said.",30,3
655,,0,3
656,"“Oh, it was a joke, then,” Mrs. Braddocks said.",47,3
657,,0,3
658,"“Yes,” said Georgette. “To laugh at.”",37,3
659,,0,3
660,"“Did you hear that, Henry?” Mrs. Braddocks called down the table to",67,3
661,"Braddocks. “Mr. Barnes introduced his fiancée as Mademoiselle Leblanc,",70,3
662,and her name is actually Hobin.”,32,3
663,,0,3
664,"“Of course, darling. Mademoiselle Hobin, I’ve known her for a very long",71,3
665,time.”,6,3
666,,0,3
667,"“Oh, Mademoiselle Hobin,” Frances Clyne called, speaking French very",68,3
668,rapidly and not seeming so proud and astonished as Mrs. Braddocks at its,72,3
669,coming out really French. “Have you been in Paris long? Do you like it,70,3
670,"here? You love Paris, do you not?”",34,3
671,,0,3
672,“Who’s she?” Georgette turned to me. “Do I have to talk to her?”,64,3
673,,0,3
674,"She turned to Frances, sitting smiling, her hands folded, her head",66,3
675,"poised on her long neck, her lips pursed ready to start talking again.",70,3
676,,0,3
677,"“No, I don’t like Paris. It’s expensive and dirty.”",51,3
678,,0,3
679,“Really? I find it so extraordinarily clean. One of the cleanest cities,71,3
680,in all Europe.”,15,3
681,,0,3
682,“I find it dirty.”,18,3
683,,0,3
684,“How strange! But perhaps you have not been here very long.”,60,3
685,,0,3
686,“I’ve been here long enough.”,29,3
687,,0,3
688,“But it does have nice people in it. One must grant that.”,58,3
689,,0,3
690,Georgette turned to me. “You have nice friends.”,48,3
691,,0,3
692,Frances was a little drunk and would have liked to have kept it up but,70,3
693,"the coffee came, and Lavigne with the liqueurs, and after that we all",69,3
694,went out and started for Braddocks’s dancing-club.,50,3
695,,0,3
696,The dancing-club was a _bal musette_ in the Rue de la Montagne Sainte,69,3
697,Geneviève. Five nights a week the working people of the Pantheon quarter,72,3
698,danced there. One night a week it was the dancing-club. On Monday nights,72,3
699,"it was closed. When we arrived it was quite empty, except for a",63,3
700,"policeman sitting near the door, the wife of the proprietor back of the",71,3
701,"zinc bar, and the proprietor himself. The daughter of the house came",68,3
702,"downstairs as we went in. There were long benches, and tables ran across",72,3
703,"the room, and at the far end a dancing-floor.",45,3
704,,0,3
705,"“I wish people would come earlier,” Braddocks said. The daughter came up",72,3
706,and wanted to know what we would drink. The proprietor got up on a high,71,3
707,stool beside the dancing-floor and began to play the accordion. He had a,72,3
708,string of bells around one of his ankles and beat time with his foot as,71,3
709,he played. Every one danced. It was hot and we came off the floor,65,3
710,perspiring.,11,3
711,,0,3
712,"“My God,” Georgette said. “What a box to sweat in!”",51,3
713,,0,3
714,“It’s hot.”,11,3
715,,0,3
716,"“Hot, my God!”",14,3
717,,0,3
718,“Take off your hat.”,20,3
719,,0,3
720,“That’s a good idea.”,21,3
721,,0,3
722,"Some one asked Georgette to dance, and I went over to the bar. It was",69,3
723,really very hot and the accordion music was pleasant in the hot night. I,72,3
724,"drank a beer, standing in the doorway and getting the cool breath of",68,3
725,wind from the street. Two taxis were coming down the steep street. They,71,3
726,"both stopped in front of the Bal. A crowd of young men, some in jerseys",71,3
727,"and some in their shirt-sleeves, got out. I could see their hands and",69,3
728,"newly washed, wavy hair in the light from the door. The policeman",65,3
729,standing by the door looked at me and smiled. They came in. As they went,72,3
730,"in, under the light I saw white hands, wavy hair, white faces,",62,3
731,"grimacing, gesturing, talking. With them was Brett. She looked very",67,3
732,lovely and she was very much with them.,39,3
733,,0,3
734,One of them saw Georgette and said: “I do declare. There is an actual,69,3
735,"harlot. I’m going to dance with her, Lett. You watch me.”",57,3
736,,0,3
737,"The tall dark one, called Lett, said: “Don’t you be rash.”",58,3
738,,0,3
739,"The wavy blond one answered: “Don’t you worry, dear.” And with them was",71,3
740,Brett.,6,3
741,,0,3
742,I was very angry. Somehow they always made me angry. I know they are,68,3
743,"supposed to be amusing, and you should be tolerant, but I wanted to",67,3
744,"swing on one, any one, anything to shatter that superior, simpering",67,3
745,"composure. Instead, I walked down the street and had a beer at the bar",70,3
746,at the next Bal. The beer was not good and I had a worse cognac to take,71,3
747,the taste out of my mouth. When I came back to the Bal there was a crowd,72,3
748,"on the floor and Georgette was dancing with the tall blond youth, who",69,3
749,"danced big-hippily, carrying his head on one side, his eyes lifted as he",72,3
750,danced. As soon as the music stopped another one of them asked her to,69,3
751,dance. She had been taken up by them. I knew then that they would all,69,3
752,dance with her. They are like that.,35,3
753,,0,3
754,I sat down at a table. Cohn was sitting there. Frances was dancing. Mrs.,72,3
755,Braddocks brought up somebody and introduced him as Robert Prentiss. He,71,3
756,"was from New York by way of Chicago, and was a rising new novelist. He",70,3
757,had some sort of an English accent. I asked him to have a drink.,64,3
758,,0,3
759,"“Thanks so much,” he said, “I’ve just had one.”",47,3
760,,0,3
761,“Have another.”,15,3
762,,0,3
763,"“Thanks, I will then.”",22,3
764,,0,3
765,We got the daughter of the house over and each had a _fine à l’eau_.,68,3
766,,0,3
767,"“You’re from Kansas City, they tell me,” he said.",49,3
768,,0,3
769,“Yes.”,6,3
770,,0,3
771,“Do you find Paris amusing?”,28,3
772,,0,3
773,“Yes.”,6,3
774,,0,3
775,“Really?”,9,3
776,,0,3
777,I was a little drunk. Not drunk in any positive sense but just enough to,72,3
778,be careless.,12,3
779,,0,3
