chap_num,para_num,para_str
2,30,“That’s because you never read a book about it. Go on and read a book all full of love affairs with the beautiful shiny black princesses.”
2,31,“I want to go to South America.”
2,32,"He had a hard, Jewish, stubborn streak."
2,33,“Come on down-stairs and have a drink.”
2,34,“Aren’t you working?”
2,35,"“No,” I said. We went down the stairs to the café on the ground floor. I had discovered that was the best way to get rid of friends. Once you had a drink all you had to say was: “Well, I’ve got to get back and get off some cables,” and it was done. It is very important to discover graceful exits like that in the newspaper business, where it is such an important part of the ethics that you should never seem to be working. Anyway, we went down-stairs to the bar and had a whiskey and soda. Cohn looked at the bottles in bins around the wall. “This is a good place,” he said."
2,36,"“There’s a lot of liquor,” I agreed."
2,37,"“Listen, Jake,” he leaned forward on the bar. “Don’t you ever get the feeling that all your life is going by and you’re not taking advantage of it? Do you realize you’ve lived nearly half the time you have to live already?”"
2,38,"“Yes, every once in a while.”"
2,39,“Do you know that in about thirty-five years more we’ll be dead?”
2,40,"“What the hell, Robert,” I said. “What the hell.”"
2,41,“I’m serious.”
2,42,"“It’s one thing I don’t worry about,” I said."
2,43,“You ought to.”
2,44,“I’ve had plenty to worry about one time or other. I’m through worrying.”
2,45,"“Well, I want to go to South America.”"
2,46,"“Listen, Robert, going to another country doesn’t make any difference. I’ve tried all that. You can’t get away from yourself by moving from one place to another. There’s nothing to that.”"
2,47,“But you’ve never been to South America.”
2,48,“South America hell! If you went there the way you feel now it would be exactly the same. This is a good town. Why don’t you start living your life in Paris?”
2,49,"“I’m sick of Paris, and I’m sick of the Quarter.”"
2,50,“Stay away from the Quarter. Cruise around by yourself and see what happens to you.”
2,51,“Nothing happens to me. I walked alone all one night and nothing happened except a bicycle cop stopped me and asked to see my papers.”
2,52,“Wasn’t the town nice at night?”
2,53,“I don’t care for Paris.”
2,54,"So there you were. I was sorry for him, but it was not a thing you could do anything about, because right away you ran up against the two stubbornnesses: South America could fix it and he did not like Paris. He got the first idea out of a book, and I suppose the second came out of a book too."
2,55,"“Well,” I said, “I’ve got to go up-stairs and get off some cables.”"
2,56,“Do you really have to go?”
2,57,"“Yes, I’ve got to get these cables off.”"
2,58,“Do you mind if I come up and sit around the office?”
2,59,"“No, come on up.”"
2,60,"He sat in the outer room and read the papers, and the Editor and Publisher and I worked hard for two hours. Then I sorted out the carbons, stamped on a by-line, put the stuff in a couple of big manila envelopes and rang for a boy to take them to the Gare St. Lazare. I went out into the other room and there was Robert Cohn asleep in the big chair. He was asleep with his head on his arms. I did not like to wake him up, but I wanted to lock the office and shove off. I put my hand on his shoulder. He shook his head. “I can’t do it,” he said, and put his head deeper into his arms. “I can’t do it. Nothing will make me do it.”"
2,61,"“Robert,” I said, and shook him by the shoulder. He looked up. He smiled and blinked."
2,62,“Did I talk out loud just then?”
2,63,“Something. But it wasn’t clear.”
2,64,"“God, what a rotten dream!”"
2,65,“Did the typewriter put you to sleep?”
2,66,“Guess so. I didn’t sleep all last night.”
2,67,“What was the matter?”
2,68,"“Talking,” he said."
2,69,I could picture it. I have a rotten habit of picturing the bedroom scenes of my friends. We went out to the Café Napolitain to have an _apéritif_ and watch the evening crowd on the Boulevard.
3,0,"It was a warm spring night and I sat at a table on the terrace of the Napolitain after Robert had gone, watching it get dark and the electric signs come on, and the red and green stop-and-go traffic-signal, and the crowd going by, and the horse-cabs clippety-clopping along at the edge of the solid taxi traffic, and the _poules_ going by, singly and in pairs, looking for the evening meal. I watched a good-looking girl walk past the table and watched her go up the street and lost sight of her, and watched another, and then saw the first one coming back again. She went by once more and I caught her eye, and she came over and sat down at the table. The waiter came up."
3,1,"“Well, what will you drink?” I asked."
3,2,“Pernod.”
3,3,“That’s not good for little girls.”
3,4,"“Little girl yourself. Dites garçon, un pernod.”"
3,5,"“A pernod for me, too.”"
3,6,“What’s the matter?” she asked. “Going on a party?”
3,7,“Sure. Aren’t you?”
3,8,“I don’t know. You never know in this town.”
3,9,“Don’t you like Paris?”
3,10,“No.”
3,11,“Why don’t you go somewhere else?”
3,12,“Isn’t anywhere else.”
3,13,"“You’re happy, all right.”"
3,14,"“Happy, hell!”"
3,15,"Pernod is greenish imitation absinthe. When you add water it turns milky. It tastes like licorice and it has a good uplift, but it drops you just as far. We sat and drank it, and the girl looked sullen."
3,16,"“Well,” I said, “are you going to buy me a dinner?”"
3,17,"She grinned and I saw why she made a point of not laughing. With her mouth closed she was a rather pretty girl. I paid for the saucers and we walked out to the street. I hailed a horse-cab and the driver pulled up at the curb. Settled back in the slow, smoothly rolling _fiacre_ we moved up the Avenue de l’Opéra, passed the locked doors of the shops, their windows lighted, the Avenue broad and shiny and almost deserted. The cab passed the New York _Herald_ bureau with the window full of clocks."
3,18,“What are all the clocks for?” she asked.
3,19,“They show the hour all over America.”
3,20,“Don’t kid me.”
3,21,"We turned off the Avenue up the Rue des Pyramides, through the traffic of the Rue de Rivoli, and through a dark gate into the Tuileries. She cuddled against me and I put my arm around her. She looked up to be kissed. She touched me with one hand and I put her hand away."
3,22,“Never mind.”
3,23,“What’s the matter? You sick?”
3,24,“Yes.”
3,25,"“Everybody’s sick. I’m sick, too.”"
3,26,We came out of the Tuileries into the light and crossed the Seine and then turned up the Rue des Saints Pères.
3,27,“You oughtn’t to drink pernod if you’re sick.”
3,28,“You neither.”
3,29,“It doesn’t make any difference with me. It doesn’t make any difference with a woman.”
3,30,“What are you called?”
3,31,“Georgette. How are you called?”
3,32,“Jacob.”
3,33,“That’s a Flemish name.”
3,34,“American too.”
3,35,“You’re not Flamand?”
3,36,"“No, American.”"
3,37,"“Good, I detest Flamands.”"
3,38,By this time we were at the restaurant. I called to the _cocher_ to stop. We got out and Georgette did not like the looks of the place. “This is no great thing of a restaurant.”
3,39,"“No,” I said. “Maybe you would rather go to Foyot’s. Why don’t you keep the cab and go on?”"
3,40,"I had picked her up because of a vague sentimental idea that it would be nice to eat with some one. It was a long time since I had dined with a _poule_, and I had forgotten how dull it could be. We went into the restaurant, passed Madame Lavigne at the desk and into a little room. Georgette cheered up a little under the food."
3,41,"“It isn’t bad here,” she said. “It isn’t chic, but the food is all right.”"
3,42,“Better than you eat in Liège.”
3,43,"“Brussels, you mean.”"
3,44,"We had another bottle of wine and Georgette made a joke. She smiled and showed all her bad teeth, and we touched glasses. “You’re not a bad type,” she said. “It’s a shame you’re sick. We get on well. What’s the matter with you, anyway?”"
3,45,"“I got hurt in the war,” I said."
3,46,"“Oh, that dirty war.”"
3,47,"We would probably have gone on and discussed the war and agreed that it was in reality a calamity for civilization, and perhaps would have been better avoided. I was bored enough. Just then from the other room some one called: “Barnes! I say, Barnes! Jacob Barnes!”"
3,48,"“It’s a friend calling me,” I explained, and went out."
3,49,"There was Braddocks at a big table with a party: Cohn, Frances Clyne, Mrs. Braddocks, several people I did not know."
3,50,"“You’re coming to the dance, aren’t you?” Braddocks asked."
3,51,“What dance?”
3,52,"“Why, the dancings. Don’t you know we’ve revived them?” Mrs. Braddocks put in."
3,53,"“You must come, Jake. We’re all going,” Frances said from the end of the table. She was tall and had a smile."
3,54,"“Of course, he’s coming,” Braddocks said. “Come in and have coffee with us, Barnes.”"
3,55,“Right.”
3,56,"“And bring your friend,” said Mrs. Braddocks laughing. She was a Canadian and had all their easy social graces."
3,57,"“Thanks, we’ll be in,” I said. I went back to the small room."
3,58,“Who are your friends?” Georgette asked.
3,59,“Writers and artists.”
3,60,“There are lots of those on this side of the river.”
3,61,“Too many.”
3,62,"“I think so. Still, some of them make money.”"
3,63,"“Oh, yes.”"
3,64,"We finished the meal and the wine. “Come on,” I said. “We’re going to have coffee with the others.”"
3,65,"Georgette opened her bag, made a few passes at her face as she looked in the little mirror, re-defined her lips with the lipstick, and straightened her hat."
3,66,"“Good,” she said."
3,67,We went into the room full of people and Braddocks and the men at his table stood up.
3,68,"“I wish to present my fiancée, Mademoiselle Georgette Leblanc,” I said. Georgette smiled that wonderful smile, and we shook hands all round."
3,69,"“Are you related to Georgette Leblanc, the singer?” Mrs. Braddocks asked."
3,70,"“Connais pas,” Georgette answered."
3,71,"“But you have the same name,” Mrs. Braddocks insisted cordially."
3,72,"“No,” said Georgette. “Not at all. My name is Hobin.”"
3,73,"“But Mr. Barnes introduced you as Mademoiselle Georgette Leblanc. Surely he did,” insisted Mrs. Braddocks, who in the excitement of talking French was liable to have no idea what she was saying."
3,74,"“He’s a fool,” Georgette said."
3,75,"“Oh, it was a joke, then,” Mrs. Braddocks said."
3,76,"“Yes,” said Georgette. “To laugh at.”"
3,77,"“Did you hear that, Henry?” Mrs. Braddocks called down the table to Braddocks. “Mr. Barnes introduced his fiancée as Mademoiselle Leblanc, and her name is actually Hobin.”"
3,78,"“Of course, darling. Mademoiselle Hobin, I’ve known her for a very long time.”"
3,79,"“Oh, Mademoiselle Hobin,” Frances Clyne called, speaking French very rapidly and not seeming so proud and astonished as Mrs. Braddocks at its coming out really French. “Have you been in Paris long? Do you like it here? You love Paris, do you not?”"
3,80,“Who’s she?” Georgette turned to me. “Do I have to talk to her?”
3,81,"She turned to Frances, sitting smiling, her hands folded, her head poised on her long neck, her lips pursed ready to start talking again."
3,82,"“No, I don’t like Paris. It’s expensive and dirty.”"
3,83,“Really? I find it so extraordinarily clean. One of the cleanest cities in all Europe.”
3,84,“I find it dirty.”
3,85,“How strange! But perhaps you have not been here very long.”
3,86,“I’ve been here long enough.”
3,87,“But it does have nice people in it. One must grant that.”
3,88,Georgette turned to me. “You have nice friends.”
3,89,"Frances was a little drunk and would have liked to have kept it up but the coffee came, and Lavigne with the liqueurs, and after that we all went out and started for Braddocks’s dancing-club."
3,90,"The dancing-club was a _bal musette_ in the Rue de la Montagne Sainte Geneviève. Five nights a week the working people of the Pantheon quarter danced there. One night a week it was the dancing-club. On Monday nights it was closed. When we arrived it was quite empty, except for a policeman sitting near the door, the wife of the proprietor back of the zinc bar, and the proprietor himself. The daughter of the house came downstairs as we went in. There were long benches, and tables ran across the room, and at the far end a dancing-floor."
3,91,"“I wish people would come earlier,” Braddocks said. The daughter came up and wanted to know what we would drink. The proprietor got up on a high stool beside the dancing-floor and began to play the accordion. He had a string of bells around one of his ankles and beat time with his foot as he played. Every one danced. It was hot and we came off the floor perspiring."
3,92,"“My God,” Georgette said. “What a box to sweat in!”"
3,93,“It’s hot.”
3,94,"“Hot, my God!”"
3,95,“Take off your hat.”
3,96,“That’s a good idea.”
3,97,"Some one asked Georgette to dance, and I went over to the bar. It was really very hot and the accordion music was pleasant in the hot night. I drank a beer, standing in the doorway and getting the cool breath of wind from the street. Two taxis were coming down the steep street. They both stopped in front of the Bal. A crowd of young men, some in jerseys and some in their shirt-sleeves, got out. I could see their hands and newly washed, wavy hair in the light from the door. The policeman standing by the door looked at me and smiled. They came in. As they went in, under the light I saw white hands, wavy hair, white faces, grimacing, gesturing, talking. With them was Brett. She looked very lovely and she was very much with them."
3,98,"One of them saw Georgette and said: “I do declare. There is an actual harlot. I’m going to dance with her, Lett. You watch me.”"
3,99,"The tall dark one, called Lett, said: “Don’t you be rash.”"
3,100,"The wavy blond one answered: “Don’t you worry, dear.” And with them was Brett."
3,101,"I was very angry. Somehow they always made me angry. I know they are supposed to be amusing, and you should be tolerant, but I wanted to swing on one, any one, anything to shatter that superior, simpering composure. Instead, I walked down the street and had a beer at the bar at the next Bal. The beer was not good and I had a worse cognac to take the taste out of my mouth. When I came back to the Bal there was a crowd on the floor and Georgette was dancing with the tall blond youth, who danced big-hippily, carrying his head on one side, his eyes lifted as he danced. As soon as the music stopped another one of them asked her to dance. She had been taken up by them. I knew then that they would all dance with her. They are like that."
3,102,"I sat down at a table. Cohn was sitting there. Frances was dancing. Mrs. Braddocks brought up somebody and introduced him as Robert Prentiss. He was from New York by way of Chicago, and was a rising new novelist. He had some sort of an English accent. I asked him to have a drink."
3,103,"“Thanks so much,” he said, “I’ve just had one.”"
3,104,“Have another.”
3,105,"“Thanks, I will then.”"
3,106,We got the daughter of the house over and each had a _fine à l’eau_.
3,107,"“You’re from Kansas City, they tell me,” he said."
3,108,“Yes.”
3,109,“Do you find Paris amusing?”
3,110,“Yes.”
3,111,“Really?”
3,112,I was a little drunk. Not drunk in any positive sense but just enough to be careless.
3,113,"“For God’s sake,” I said, “yes. Don’t you?”"
3,114,"“Oh, how charmingly you get angry,” he said. “I wish I had that faculty.”"
3,115,"I got up and walked over toward the dancing-floor. Mrs. Braddocks followed me. “Don’t be cross with Robert,” she said. “He’s still only a child, you know.”"
3,116,"“I wasn’t cross,” I said. “I just thought perhaps I was going to throw up.”"
3,117,"“Your fiancée is having a great success,” Mrs. Braddocks looked out on the floor where Georgette was dancing in the arms of the tall, dark one, called Lett."
3,118,“Isn’t she?” I said.
3,119,"“Rather,” said Mrs. Braddocks."
3,120,"Cohn came up. “Come on, Jake,” he said, “have a drink.” We walked over to the bar. “What’s the matter with you? You seem all worked up over something?”"
3,121,“Nothing. This whole show makes me sick is all.”
3,122,Brett came up to the bar.
3,123,"“Hello, you chaps.”"
3,124,"“Hello, Brett,” I said. “Why aren’t you tight?”"
3,125,"“Never going to get tight any more. I say, give a chap a brandy and soda.”"
3,126,"She stood holding the glass and I saw Robert Cohn looking at her. He looked a great deal as his compatriot must have looked when he saw the promised land. Cohn, of course, was much younger. But he had that look of eager, deserving expectation."
3,127,"Brett was damned good-looking. She wore a slipover jersey sweater and a tweed skirt, and her hair was brushed back like a boy’s. She started all that. She was built with curves like the hull of a racing yacht, and you missed none of it with that wool jersey."
3,128,"“It’s a fine crowd you’re with, Brett,” I said."
3,129,"“Aren’t they lovely? And you, my dear. Where did you get it?”"
3,130,“At the Napolitain.”
3,131,“And have you had a lovely evening?”
3,132,"“Oh, priceless,” I said."
3,133,"Brett laughed. “It’s wrong of you, Jake. It’s an insult to all of us. Look at Frances there, and Jo.”"
3,134,This for Cohn’s benefit.
3,135,"“It’s in restraint of trade,” Brett said. She laughed again."
3,136,"“You’re wonderfully sober,” I said."
3,137,"“Yes. Aren’t I? And when one’s with the crowd I’m with, one can drink in such safety, too.”"
3,138,"The music started and Robert Cohn said: “Will you dance this with me, Lady Brett?”"
3,139,"Brett smiled at him. “I’ve promised to dance this with Jacob,” she laughed. “You’ve a hell of a biblical name, Jake.”"
3,140,“How about the next?” asked Cohn.
3,141,"“We’re going,” Brett said. “We’ve a date up at Montmartre.” Dancing, I looked over Brett’s shoulder and saw Cohn, standing at the bar, still watching her."
3,142,"“You’ve made a new one there,” I said to her."
3,143,“Don’t talk about it. Poor chap. I never knew it till just now.”
3,144,"“Oh, well,” I said. “I suppose you like to add them up.”"
3,145,“Don’t talk like a fool.”
3,146,“You do.”
3,147,"“Oh, well. What if I do?”"
3,148,"“Nothing,” I said. We were dancing to the accordion and some one was playing the banjo. It was hot and I felt happy. We passed close to Georgette dancing with another one of them."
3,149,“What possessed you to bring her?”
3,150,"“I don’t know, I just brought her.”"
3,151,“You’re getting damned romantic.”
3,152,"“No, bored.”"
3,153,“Now?”
3,154,"“No, not now.”"
3,155,“Let’s get out of here. She’s well taken care of.”
3,156,“Do you want to?”
3,157,“Would I ask you if I didn’t want to?”
3,158,"We left the floor and I took my coat off a hanger on the wall and put it on. Brett stood by the bar. Cohn was talking to her. I stopped at the bar and asked them for an envelope. The patronne found one. I took a fifty-franc note from my pocket, put it in the envelope, sealed it, and handed it to the patronne."
3,159,"“If the girl I came with asks for me, will you give her this?” I said. “If she goes out with one of those gentlemen, will you save this for me?”"
3,160,"“C’est entendu, Monsieur,” the patronne said. “You go now? So early?”"
3,161,"“Yes,” I said."
3,162,"We started out the door. Cohn was still talking to Brett. She said good night and took my arm. “Good night, Cohn,” I said. Outside in the street we looked for a taxi."
3,163,"“You’re going to lose your fifty francs,” Brett said."
3,164,"“Oh, yes.”"
3,165,“No taxis.”
3,166,“We could walk up to the Pantheon and get one.”
3,167,“Come on and we’ll get a drink in the pub next door and send for one.”
3,168,“You wouldn’t walk across the street.”
3,169,“Not if I could help it.”
3,170,We went into the next bar and I sent a waiter for a taxi.
3,171,"“Well,” I said, “we’re out away from them.”"
3,172,We stood against the tall zinc bar and did not talk and looked at each other. The waiter came and said the taxi was outside. Brett pressed my hand hard. I gave the waiter a franc and we went out. “Where should I tell him?” I asked.
3,173,"“Oh, tell him to drive around.”"
3,174,"I told the driver to go to the Parc Montsouris, and got in, and slammed the door. Brett was leaning back in the corner, her eyes closed. I got in and sat beside her. The cab started with a jerk."
3,175,"“Oh, darling, I’ve been so miserable,” Brett said."
4,0,"The taxi went up the hill, passed the lighted square, then on into the dark, still climbing, then levelled out onto a dark street behind St. Etienne du Mont, went smoothly down the asphalt, passed the trees and the standing bus at the Place de la Contrescarpe, then turned onto the cobbles of the Rue Mouffetard. There were lighted bars and late open shops on each side of the street. We were sitting apart and we jolted close together going down the old street. Brett’s hat was off. Her head was back. I saw her face in the lights from the open shops, then it was dark, then I saw her face clearly as we came out on the Avenue des Gobelins. The street was torn up and men were working on the car-tracks by the light of acetylene flares. Brett’s face was white and the long line of her neck showed in the bright light of the flares. The street was dark again and I kissed her. Our lips were tight together and then she turned away and pressed against the corner of the seat, as far away as she could get. Her head was down."
4,1,"“Don’t touch me,” she said. “Please don’t touch me.”"
4,2,“What’s the matter?”
4,3,“I can’t stand it.”
4,4,"“Oh, Brett.”"
4,5,"“You mustn’t. You must know. I can’t stand it, that’s all. Oh, darling, please understand!”"
4,6,“Don’t you love me?”
4,7,“Love you? I simply turn all to jelly when you touch me.”
4,8,“Isn’t there anything we can do about it?”
4,9,"She was sitting up now. My arm was around her and she was leaning back against me, and we were quite calm. She was looking into my eyes with that way she had of looking that made you wonder whether she really saw out of her own eyes. They would look on and on after every one else’s eyes in the world would have stopped looking. She looked as though there were nothing on earth she would not look at like that, and really she was afraid of so many things."
4,10,"“And there’s not a damn thing we could do,” I said."
4,11,"“I don’t know,” she said. “I don’t want to go through that hell again.”"
4,12,“We’d better keep away from each other.”
4,13,"“But, darling, I have to see you. It isn’t all that you know.”"
4,14,"“No, but it always gets to be.”"
4,15,"“That’s my fault. Don’t we pay for all the things we do, though?”"
4,16,"She had been looking into my eyes all the time. Her eyes had different depths, sometimes they seemed perfectly flat. Now you could see all the way into them."
4,17,“When I think of the hell I’ve put chaps through. I’m paying for it all now.”
4,18,"“Don’t talk like a fool,” I said. “Besides, what happened to me is supposed to be funny. I never think about it.”"
4,19,"“Oh, no. I’ll lay you don’t.”"
4,20,"“Well, let’s shut up about it.”"
4,21,"“I laughed about it too, myself, once.” She wasn’t looking at me. “A friend of my brother’s came home that way from Mons. It seemed like a hell of a joke. Chaps never know anything, do they?”"
4,22,"“No,” I said. “Nobody ever knows anything.”"
4,23,"I was pretty well through with the subject. At one time or another I had probably considered it from most of its various angles, including the one that certain injuries or imperfections are a subject of merriment while remaining quite serious for the person possessing them."
4,24,"“It’s funny,” I said. “It’s very funny. And it’s a lot of fun, too, to be in love.”"
4,25,“Do you think so?” her eyes looked flat again.
4,26,“I don’t mean fun that way. In a way it’s an enjoyable feeling.”
4,27,"“No,” she said. “I think it’s hell on earth.”"
4,28,“It’s good to see each other.”
4,29,“No. I don’t think it is.”
4,30,“Don’t you want to?”
4,31,“I have to.”
4,32,We were sitting now like two strangers. On the right was the Parc Montsouris. The restaurant where they have the pool of live trout and where you can sit and look out over the park was closed and dark. The driver leaned his head around.
4,33,“Where do you want to go?” I asked. Brett turned her head away.
4,34,"“Oh, go to the Select.”"
4,35,"“Café Select,” I told the driver. “Boulevard Montparnasse.” We drove straight down, turning around the Lion de Belfort that guards the passing Montrouge trams. Brett looked straight ahead. On the Boulevard Raspail, with the lights of Montparnasse in sight, Brett said: “Would you mind very much if I asked you to do something?”"
4,36,“Don’t be silly.”
4,37,“Kiss me just once more before we get there.”
